# Froment & Bischoff (1961): every quantitative claim the paper states in prose,
# with its location. These are the page's reproduction targets. Read from cropped
# 300 dpi renders; the OCR mangles several (it gives the Voorhies exponent range
# as "0.88 to 058" where the page prints 0.38 to 0.53).
claim_id,printed_value,statement,where
voorhies_n_low,0.38,"exponent n in c = m t'^n from 0.38 for gas-oil cracking (Voorhies, ref [4])","Sec. 7(a), p. 197"
voorhies_n_high,0.53,"exponent n in c = m t'^n up to 0.53 for gas-oil cracking (Voorhies, ref [4])","Sec. 7(a), p. 197"
n_rudershausen_watson,0.65,"n = 0.65 for aromatization of cyclohexane (ref [2])","Sec. 7(a), p. 197"
n_tyuryaev,0.68,"n = 0.68 for dehydrogenation of n-butane (ref [3])","Sec. 7(a), p. 197"
n_wilson_denherder,0.70,"n = 0.7 for a reforming reaction (ref [5])","Sec. 7(a), p. 197"
gamma_threshold,0.02,"for gamma = k2_0/k1_0 <= 0.02 the gamma=0 solution agrees with the series within 5 per cent","Sec. 5(a), p. 193"
gamma_agreement_pct,5.0,"the agreement obtained was within 5 per cent","Sec. 5(a), p. 193"
series_window_az,2.0,"four-term series solution safe up to about az = 2","Sec. 6, p. 196"
series_window_abeta,2.0,"four-term series solution safe up to about ab_eta = 2","Sec. 6, p. 196"
asym_matches_series_at,2.0,"eqs (46)+(49) compare very well with the series at ab_eta = 2","Sec. 6, p. 196"
asym_safe_above,2.0,"the approximation improves as eta increases, so (46)+(49) safely used for ab_eta > 2","Sec. 6, p. 196"
slope_ce_low,1.0,"consecutive/exponential: slope 1.0 at low ab_eta","Sec. 7(a), p. 198"
slope_ce_half_at,4.0,"consecutive/exponential: slope 0.5 as ab_eta approaches 4 and beyond","Sec. 7(a), p. 198"
slope_ph_low,1.0,"parallel/hyperbolic: slope 1.0 for low Kb_eta","Sec. 7(a), p. 198"
slope_ph_half_at,10.0,"parallel/hyperbolic: approaches 0.5 at about 10","Sec. 7(a), p. 198"
slope_pe,1.0,"parallel/exponential: always a slope of approximately 1.0","Sec. 7(a), p. 198"
