# Froment, De Wilde & Bischoff, "Chemical Reactor Analysis and Design", 3rd edn
# (Wiley, 2011), section 1.5.1 "Enzymatic Kinetics", book pp. 23-26 (PDF 65-68).
# Equations and prose transcribed from the born-digital text layer and each one
# checked against a 300 ppi render of its own page. Quotes are verbatim, [sic]
# and all; nothing is repaired here or on the page.
key,page,kind,as_printed,note
eq_1_5_1_1,23,equation,"A + E <=(k1/k-1)=> A-E --(k2)--> E + P","the scheme; k1 forward, k-1 reverse, k2 decomposition"
eq_1_5_1_2,23,equation,"r_A = k1 C_A C_E - k_-1 C_A-E","net rate of disappearance of A"
eq_1_5_1_3,23,equation,"r_P = k2 C_A-E","rate of formation of P"
eq_1_5_1_4,23,equation,"r_A-E = k1 C_A C_E - (k_-1 + k2) C_A-E","net rate of formation of the complex"
eq_1_5_1_5,24,equation,"C_A-E = K C_A C_E","route 1; the text adds ""with K = k1/k-1 its equilibrium constant"""
eq_1_5_1_6,24,equation,"r_P = k2 C_A-E = k2 K C_A C_E",""
eq_1_5_1_7,24,equation,"r_P = k2 K C_A C_E^0 / (1 + K C_A)","after C_E = C_E^0 - C_A-E"
eq_1_5_1_8,24,equation,"r_A = r_P = k2 C_A C_E^0 / (K_M + C_A)","named in the next line as the Michaelis-Menten equation, K_M = k_-1/k_1"
eq_1_5_1_9,24,equation,"d C_A-E / dt = 0","the pseudo steady state approximation"
eq_1_5_1_10,24,equation,"C_A-E = k1 C_A C_E / (k_-1 + k2)",""
eq_1_5_1_11,24,equation,"r_A = k1 C_A C_E (1 - k_-1/(k_-1 + k2))",""
eq_1_5_1_12,25,equation,"C_E = C_E^0 / (1 + k1 C_A/(k_-1 + k2))",""
eq_1_5_1_13,25,equation,"r_A = r_P = k2 C_A C_E^0 / (K_M + C_A)","""exactly the form of the Michaelis-Menten equation"""
eq_1_5_1_14,25,equation,"K_M = (k_-1 + k2)/k_1","route 2's Michaelis constant"
eq_1_5_1_15,25,equation,"r_A = r_m C_A / (K_M + C_A)","""where r_m = k2 C_E^0 is the maximum possible rate"""
p24_named,24,quote,"This is the Michaelis-Menten equation for the rate of a simple enzymatic reaction and KM = k-1/k1 is known as the Michaelis-Menten constant.","the only place the 1913 names are attached to anything"
p24_zero_order,24,quote,"At high reactant concentration (CA much larger than KM), the rate levels off and becomes zero order with respect to the reactant, rA = k1CE0.","PRINTED DEFECT [sic]: eq. (1.5.1-8) gives k2 C_E^0, the book's own eq. (1.5.1-15) calls k2 C_E^0 the maximum rate, and k1 C_E^0 has units of 1/s, not mol/(m3 s). Reported, not repaired."
p24_briggs,24,quote,"In the second approach, formulated by Briggs and Haldane, the formation of the complex A-E does not necessarily reach equilibrium, but its concentration is eliminated by applying the pseudo steady state approximation","the only place the 1925 names appear in the book's running text"
p25_transient,25,quote,"It may take some time for CA-E to reach steady state, in particular if the enzyme concentration is relatively large compared to that of the substrate, which is seldom the case, however. During that time span the solution (1.5.1-13) would be a poor approximation of the rigorous solution, which requires numerical methods, however.","the printed statement of when the QSSA fails; the page prices it"
p25_half_max,25,quote,"The rate reaches half this maximum value when CA equals KM.",""
p25_lineweaver,25,quote,"One example is the Lineweaver-Burke plot of 1/r versus CA.","PRINTED DEFECT [sic]: 1/r is exactly linear in 1/C_A and strictly convex in C_A (d2(1/r)/dC_A2 = 2 K_M/(r_m C_A3) > 0). Reported, not repaired. The surname is printed ""Burke""."
p25_elementary,25,quote,"If, for more insight into the process, the rate coefficients k1, k-1 and k2 of the elementary steps themselves are required, only transient experimentation (stopped flow, or relaxation ...) can help.","the book's own statement of the identifiability limit this page measures"
p144_prob24,144,quote,"The Michaelis-Menten (Briggs-Haldane) mechanism in enzyme kinetics is based upon the following reaction scheme","Problem 2.4, Chapter 2: the book treats the two names as one mechanism, and prints Km = (k2 + k3)/k1 - the Briggs-Haldane constant - under the Michaelis-Menten name"
p144_prob24b,144,quote,"Show that the maximum initial rate is given by: -d[S]/dt|max = k3 [E0]","Problem 2.4(b). k3 is Problem 2.4's decomposition constant, i.e. section 1.5.1's k2 - so the book's own problem set prints the limit that p. 24's ""rA = k1CE0"" contradicts"
