# Every number Whitman prints outside Table 1, with where it appears and what
# role it plays. Reprint pages are those of Int. J. Heat Mass Transfer 5 (1962),
# which reprints the 1923 article verbatim. All read off native-resolution page
# renders (pdftoppm -r 300; the scan is CCITT-G4 bilevel at 300 ppi), cropped
# per numeric.
#
# role:
#   derived_in_paper = Whitman computes it from Table 1 and the two-film equations
#   read_from_fig3   = Whitman reads it off his own Figure 3
#   prediction       = a rate he predicts and compares with Table 1
#   prose_claim      = a ratio or bound he states in words
#   figure_axis      = a printed axis tick label of Figs 2 and 3
quantity,value,unit,reprint_page,role,note
p2_run1,156,mmHg,432,derived_in_paper,"interface partial pressure of run 1, from eq. (4) with k_p taken as K_p of run 3"
c2_run1,412,g_per_l,432,read_from_fig3,"interface liquid concentration in equilibrium with p2 = 156 mmHg"
k_c_run1,1.2,g_per_h_per_g_per_l,432,derived_in_paper,"printed as 41.0/(412-378) = 1.2"
p2_run2,0.6,mmHg,432,read_from_fig3,"solves eq. (7) for run 2 together with c2_run2"
c2_run2,224,g_per_l,432,read_from_fig3,"solves eq. (7) for run 2 together with p2_run2"
rate_run2_predicted,24,g_per_h,432,prediction,"printed as 1.2 x 20 = 24 g/h, 'checking with the observed value in Table 1' (24.0)"
ratio_Kp_run2_over_run1,2.5,dimensionless,432,prose_claim,"'K_p increases nearly two and one-half fold'"
ratio_Kc_run1_over_run3,12,dimensionless,432,prose_claim,"'that for the first run being twelvefold that for run 3'"
ratio_Kc_run2_over_run3,2,dimensionless,432,prose_claim,"'differ more than twofold'; stated as a lower bound"
c_negligible_backpressure,250,g_per_l,431,prose_claim,"'the partial pressure of HCl ... is negligible up to concentrations of approximately 250 g/l'"
fig3_abscissa_min,180,g_per_l,432,figure_axis,"leftmost printed tick of Fig. 3"
fig3_abscissa_max,460,g_per_l,432,figure_axis,"rightmost printed tick of Fig. 3"
fig3_ordinate_min,-1.0,log10_mmHg,432,figure_axis,"lowest printed tick of Fig. 3, log pressure of HCl"
fig3_ordinate_max,2.8,log10_mmHg,432,figure_axis,"highest printed tick of Fig. 3, log pressure of HCl"
temperature,30,degC,431,prose_claim,"'a constant temperature of gas and liquid of 30 deg. C'"
