# Everything this page is checked against, all of it read from 600 dpi renders
# of Van Welsenaere & Froment (1970), Chem. Eng. Sci. 25(10) 1503-1516.
# Barkelew's own 1959 paper is NOT on disk and was NOT consulted; this file is
# the reprint route, and `source` says which journal page each value came from.
# The Elsevier full-text API was used for prose only: it discards the 1970
# mid-dot decimal separator and renders 0.01651 as `001651`.
quantity,value,unit,kind,source,note
tau_m_at_tangency,1.275,-,stated,"Section 5, journal page 1512","""It was observed that for all S-values tau_m at the point of tangency was very close to 1.275."" The single quantitative statement in the Barkelew comparison."
tau_m_criterion_1,1.0,-,stated,"Section 5, journal page 1512","""With Barkelew's dimensionless notation the first criterion leads to tau_m = 1, so that tau_m/S = 1/S."""
S_curve_1,4.0,-,label,"Fig. 9, journal page 1511",curve label printed on Barkelew's diagram
S_curve_2,8.0,-,label,"Fig. 9, journal page 1511",curve label printed on Barkelew's diagram
S_curve_3,16.0,-,label,"Fig. 9, journal page 1511",curve label printed on Barkelew's diagram
S_curve_4,32.0,-,label,"Fig. 9, journal page 1511",curve label printed on Barkelew's diagram
fig9_NS_min,0.5,-,axis,"Fig. 9, journal page 1511",printed abscissa limit of Barkelew's diagram
fig9_NS_max,2.5,-,axis,"Fig. 9, journal page 1511",printed abscissa limit of Barkelew's diagram
fig9_tauS_min,0.0,-,axis,"Fig. 9, journal page 1511",printed ordinate limit of Barkelew's diagram
fig9_tauS_max,0.4,-,axis,"Fig. 9, journal page 1511",printed ordinate limit of Barkelew's diagram
fig10_p0,0.017,atm,label,"Fig. 10, journal page 1512",inlet partial pressure printed inside the figure
fig10_Tw_1,625.0,K,label,"Fig. 10, journal page 1512",wall temperature label; Fig. 3 uses the same four
fig10_Tw_2,626.0,K,label,"Fig. 10, journal page 1512",wall temperature label; Fig. 3 uses the same four
fig10_Tw_3,627.0,K,label,"Fig. 10, journal page 1512",wall temperature label; Fig. 3 uses the same four
fig10_Tw_4,628.0,K,label,"Fig. 10, journal page 1512",wall temperature label; Fig. 3 uses the same four
fig10_z_max,1.0,m,axis,"Fig. 10, journal page 1512",printed abscissa limit; Fig. 3 uses the same
fig10_T_max,800.0,K,axis,"Fig. 10, journal page 1512",printed ordinate limit at which the runaway profiles are cut off
t_w_at_Tw625,21.818,-,derived,"Example 1(b), journal page 1513",a/T_w from their Eq. 21b
lnK_at_Tw625,-2.055,-,derived,"Example 1(b), journal page 1513",their Eq. 22
T_M_at_Tw625,656.6,K,derived,"Example 1(a), journal page 1512",critical hot spot from their Eq. 8
p0_lower_1_at_Tw625,0.01353,atm,criterion,"Example 1(a), journal page 1512",lower limit on the critical inlet pressure from their Eq. 26
p0_upper_1_at_Tw625,0.01976,atm,criterion,"Example 1(a), journal page 1512",upper limit from their Eq. 28
p0_mean_1_at_Tw625,0.01665,atm,criterion,"Example 1(a), journal page 1512",mean of the two limits
p0_crit_1_at_Tw625,0.01651,atm,integration,"Example 1(a), journal page 1512",true critical inlet pressure obtained by integrating numerically back to the inlet
dT_ad_at_p0_0125,521.09,K,derived,"Example 4, journal page 1513",adiabatic temperature rise from their Eq. 32 at p0 = 0.0125 atm
