# Numeric constants, thresholds and axis ends printed in the two books that
# restate Van Krevelen & Hoftijzer (1948).  Froment's equations and sentences are
# VECTOR text, read on 300 ppi page renders; the four axis-end rows come from
# Fig. 6.3.2-1, which is an embedded 148 ppi RASTER, and were re-read there at
# native resolution.  Levenspiel is a 600 ppi scan, read at 600 ppi.  The text
# layer was used only to find the pages.  See the .meta.yaml sidecar.
claim_id,source,book_page,pdf_page,quantity,value,verbatim,used_for
froment_vkh_validity_pct,froment,340,382,percent,10.0,"This approximate solution is valid to within 10 percent of the numerical solution.",the accuracy claim this page measures
froment_film_completion_gamma,froment,331,373,gamma,3.0,"The reaction is essentially completed in the film when gamma > 3",regime boundary quoted beside the error map
froment_bulk_reaction_gamma,froment,331,373,gamma,0.3,"whereas it takes place mainly in the bulk when gamma < 0.3",regime boundary quoted beside the error map
froment_porter_validity_gamma,froment,340,382,gamma,2.0,"(for Porter's equation when gamma >= 2)",named only; Porter's equation is not evaluated on this page
froment_gamma_axis_lo,froment,331,373,gamma,0.5,"0.5 (left end of the gamma axis of Fig. 6.3.2-1)",lower end of the search domain for the worst error
froment_gamma_axis_hi,froment,331,373,gamma,1000.0,"1000 (right end of the gamma axis of Fig. 6.3.2-1)",upper end of the search domain for the worst error
froment_FA_axis_lo,froment,331,373,F_A,1.0,"1 (bottom of the F_A axis of Fig. 6.3.2-1)",plot range only
froment_FA_axis_hi,froment,331,373,F_A,1000.0,"1000 (top of the F_A axis of Fig. 6.3.2-1)",plot range only
lev_pfo_threshold,levenspiel,530,546,E_i/M_H,5.0,"If E_i > 5 M_H we then have pseudo first order reaction by the G/L interface in which case E = M_H",the branch boundary at which the pseudo-first-order expansion is evaluated
lev_pfo_correction_denom,levenspiel,530,546,factor,2.0,"More precisely  E = M_H(1 - (M_H - 1)/(2 E_i)) + ...",the printed correction tested against the film solve
lev_pfo_correction_offset,levenspiel,530,546,offset,1.0,"the (M_H - 1) of E = M_H(1 - (M_H - 1)/(2 E_i)) + ...",the printed correction tested against the film solve
lev_small_M_coeff,levenspiel,530,546,divisor,3.0,"E = 1 + M_H^2/3 + ...",the printed small-M_H expansion tested against the film solve
lev_inst_threshold,levenspiel,530,546,M_H/E_i,5.0,"If E_i < M_H/5 then we have instantaneous reaction at a plane on the L film in which case E = E_i",the branch boundary of the instantaneous expansion
lev_inst_correction_power,levenspiel,530,546,exponent,2.0,"More precisely:  E = E_i - E_i^2 (E_i - 1)/M_H^2 + ...",the printed correction tested against both VKH and the film solve
lev_fast_band_factor,levenspiel,530,546,factor,5.0,"Fast second order reaction in L film   5 E_i > M_H > E_i/5",the band in which neither expansion is claimed
lev_MH_axis_lo,levenspiel,530,546,M_H,0.1,"0.1 (left end of the M_H axis of Fig. 23.4)",notation reconciliation only
lev_MH_axis_hi,levenspiel,530,546,M_H,1000.0,"1000 (right end of the M_H axis of Fig. 23.4)",notation reconciliation only
lev_E_axis_lo,levenspiel,530,546,E,1.0,"1.0 (bottom of the E axis of Fig. 23.4)",notation reconciliation only
lev_E_axis_hi,levenspiel,530,546,E,1000.0,"1000 (top of the E axis of Fig. 23.4)",notation reconciliation only
froment_assumption_p335,froment,335,377,,,"They were calculated by Van Krevelen and Hoftijzer [1948] under the assumption that B is only weakly depleted near the interface. For moderately fast reactions, this assumption was reasonably confirmed by more rigorous computations.","the assumption this page measures, wording 1 of 2 - the LEVEL of depletion, which beta(0) tests"
froment_assumption_p340,froment,340,382,,,"Van Krevelen and Hoftijzer [1948] dealt with this situation in a way analogous to that applied to pseudo-first-order kinetics, namely, by assuming that the concentration of B remains approximately constant close to the interface.","the assumption this page measures, wording 2 of 2 - printed with (6.3.5-1) itself, about CONSTANCY of beta, which the rate-weighted mean tests"
froment_surname_in_text,froment,331,373,,,"as first given by Van Krevelen and Hoftijzer [1948]",spelling of the first author in the E1.1 target
froment_surname_in_reflist,froment,365,407,,,"Van Krevelen, D.W., and Hoftijzer, P.J., Rec. Trav. Chim. Pays-Bas, 67, 563 (1948).",spelling of the first author in the E1.1 target
levenspiel_surname_in_caption,levenspiel,530,546,,,"modified from the numerical solution of van Krevelens and Hoftijzer (1954).",printed defect reported and not repaired
levenspiel_surname_in_reflist,levenspiel,537,553,,,"van Krevelens, D. W., and Hoftijzer, P. J., Rec. Trav. Chim., 67, 563 (1948); Trans. I. Chem. E., 32, 5360 (1954).",printed defect reported and not repaired
