# Levenspiel (1972), J. Catal. 25, 265-272: every numbered equation this page
# uses, transcribed from cropped 300 ppi (native) renders at glyph scale. The
# text layer of this scan is badly damaged ("detrrmination", "ordrrs",
# "rractor") and was NOT used for any symbol, subscript or prime.
# ascii_form uses: CA=C_A, CR=C_R, CP=C_P, CA0=C_A0, CAinf=C_A_infinity,
# a=activity, kd=k_d, kp=k' (=k CA^n), kdp=k_d' (=k_d CA^n'), tau=tau'.
eq,page,ascii_form,describes,status
4,266,"-r'A = k CA^n a ; -da/dt = kd CA^n' a^d","parallel deactivation: A -> R and A -> P(down)",verified
5,266,"-r'A = k CA^n a ; -da/dt = kd CR^n' a^d","series deactivation: A -> R -> P(down)",verified
6,266,"-r'A = k CA^n a ; -da/dt = kd CP^n' a^d","side-by-side deactivation: A -> R and P -> P(down)",verified
7,266,"-r'A = k CA^n a ; -da/dt = kd a^d","independent deactivation (concentration independent)",verified
8,266,"-da/dt = kd (CA + CR)^n' a^d","A->R, A->P(down), R->P(down); reduces to eq. 7 since CA+CR is constant",verified
9a,268,"-r'A = k CA a","the illustrative first-order rate form used through eqs. 10-24",verified
9b,268,"-da/dt = kd a","first-order, concentration-independent deactivation",verified
10,268,"-dCA/dt = (W/V)(-r'A) = (kW/V) CA a = k'' a CA","batch fluid + batch solids (Fig. 1a) performance relation",verified
12,268,"a = exp(-kd t)","eq. 11 integrated at a0 = 1",verified
13,268,"ln(CA0/CA) = (k''/kd)(1 - exp(-kd t))","Fig. 1a: concentration history",verified
14,268,"ln(CA0/CAinf) = k''/kd","Fig. 1a: the infinite-time limit of eq. 13",verified
15,268,"ln ln(CA/CAinf) = ln ln(CA0/CAinf) - kd t","Fig. 1a test plot (Fig. 2): slope -kd",verified
16,269,"W/FA0 = XA/(-r'A) = XA/(k a CA)","mixed flow of fluid at constant flow rate (Fig. 1c)",verified
17,269,"CA0/CA = 1 + k a (W CA0/FA0) = 1 + k a tau","eq. 16 rearranged; tau = weight-time",verified
18,269,"CA0/CA = 1 + k exp(-kd t) tau","eq. 17 with a from eq. 12",verified
19,269,"ln(CA0/CA - 1) = ln(k tau) - kd t","Fig. 1c test plot (Fig. 3): slope -kd, intercept ln(k tau)",verified
20,269,"W/FA0 = int_0^XA dXA/(-r'A) = -1/(k a CA0) int_CA0^CA dCA/CA","plug flow of fluid at constant flow rate (Fig. 1b)",verified
21,269,"tau = (1/(k a)) ln(CA0/CA) = (1/(k exp(-kd t))) ln(CA0/CA)","eq. 20 integrated with a from eq. 12",verified
22,269,"ln ln(CA0/CA) = ln(k tau) - kd t","Fig. 1b test plot (Fig. 4): slope -kd, intercept ln(k tau)",verified
23,270,"ln tau = kd t + ln((CA0 - CA)/(k CA))","mixed flow, flow rate lowered to hold CA constant (Fig. 5)",verified
24,270,"ln tau = kd t + ln((1/kd) ln(CA0/CA))","plug flow, flow rate lowered to hold CA,out constant","PRINTED DEFECT: the paper's own eq. 21 requires (1/k), not (1/kd); the residual is exactly ln(kd/k) and 1/kd is dimensionally wrong"
25,271,"-r'A = (k CA^n) a = k' a","general n-order rate at constant CA; k' = k CA^n is then a constant",verified
26,271,"-da/dt = (kd CA^n') a^d = kd' a^d","general n'-, d-order deactivation at constant CA; kd' = kd CA^n'",verified
27,271,"tau = (CA0 - CA)/(k' a)","mixed flow performance relation at constant CA",verified
28,271,"1/tau = k'/(CA0 - CA) - (k' kd'/(CA0 - CA)) t","zero-order deactivation, d = 0",verified
29,271,"ln tau = ln((CA0 - CA)/k') + kd' t","first-order deactivation, d = 1",verified
30,271,"tau = (CA0 - CA)/k' + ((CA0 - CA) kd'/k') t","second-order deactivation, d = 2",verified
31,271,"tau^2 = ((CA0 - CA)/k')^2 + ((CA0 - CA)/k')^2 (2 kd' t)","third-order deactivation, d = 3",verified
32,271,"tau^(d-1) = C1 + C2 t","dth-order deactivation; Fig. 6 prints C1 = ((CA0-CA)/k')^(d-1) and C2 = C1 (d-1) kd'",verified
