# Values printed in Levenspiel, "Chemical Reaction Engineering", 3rd ed. (1999),
# Chapter 14 "The Tanks-In-Series Model", sections 14.1 and 14.2, plus the two
# Chapter 13 values that Fig. 14.7's own annotation points the reader at.
# Transcribed from 600 dpi renders (native resolution) of PDF pages 318-354
# = book pages 302-338.  The text layer of this scan destroys equations and
# subscripts, so every cell below was read on a cropped image at digit scale.
# `printed_as` reproduces the glyphs exactly, including five defects that are
# reported and NOT repaired (see the page).
item,quantity,value,units,book_page,located_in,printed_as,note
E14.1,L_1,32,m,329,text,32 m,original pipeline length
E14.1,sigma_1,8,bottles,329,solution,8,spread of the rose slug
E14.1,sigma_1_squared,64,bottles^2,329,solution,64,
E14.1,L_2,50,m,329,text,50 m,lengthened pipeline
E14.1,sigma_2_squared,100,bottles^2,330,solution,100,= (50/32)(64)
E14.1,sigma_2,10,bottles,330,solution,10,double-underlined answer
E14.2,x_Portsmouth_to_Cincinnati,119,miles,330,text,119,station separation
E14.2,spread_Portsmouth,10.5,h,330,text,10.5,time for the slug to pass
E14.2,spread_Cincinnati,14,h,330,text,14,time for the slug to pass
E14.2,L,272,miles,331,solution,272 moles,"PRINTED DEFECT: unit reads ""moles""; the Comment two lines later says ""L <= 272 miles"""
E14.4,tbar_in,220,s,334,fig E14.4a,220s,mean of the sloppy input signal
E14.4,var_in,100,s^2,334,fig E14.4a,100s^2,variance of the input signal
E14.4,tbar_out,280,s,334,fig E14.4a,280s,mean of the output signal
E14.4,var_out,1000,s^2,334,fig E14.4a,1000s^2,variance of the output signal
E14.4,delta_tbar,60,s,333,solution,280 - 220 = 60 s,
E14.4,delta_var,900,s^2,333,solution,1000 - 100 = 900 s,"printed unit is s; the quantity is a variance, so s^2"
E14.4,N,4,tanks,334,solution,4 tanks,= (60^2)/900
E14.4,E_prefactor,3.2922e-6,s^-4,334,solution,3.2922 x 10^-6,coefficient of t^3 in the fitted E curve
E14.4,E_exponent,0.0667,s^-1,334,solution,0.0667,= 4/60 rounded
E14.4,E_axis_top_tick,0.105,s^-1,334,fig E14.4b,0.105,"PRINTED DEFECT: tick sequence is 0, 0.005, 0.010, so 0.015; the printed E(t) peaks at 0.0149"
Fig14.3,Einf_over_Emax_N4,0.55,-,324,fig 14.3,0.55,"annotated with the approximately-equal sign; the two inflection points differ in height"
Fig14.3,Einf_over_Emax_Nge10,0.61,-,324,fig 14.3,0.61,"annotated with the approximately-equal sign, for N >= 10"
Fig14.3,stirling_error_bound,0.02,-,324,fig 14.3,"error < 2% for N > 5","bound on N/sqrt(2 pi (N-1)) as an approximation to E_theta,max"
Fig14.7,N_symmetric_threshold,50,tanks,327,"fig 14.7, annotation inside the axes box","When N > 50 the curve becomes symmetrical in which case use fig. 13-11","the N above which the chapter sends the reader to the dispersion model"
Fig14.7,dispersion_rule_half,0.5,-,327,"fig 14.7, annotation inside the axes box","with N = 1/2 (D/uL)","PRINTED DEFECT: the ratio is inverted; the book's own Ch. 13 gives N = 1/2 (uL/D)"
Fig13.12,sigma2_theta_over_DuL,2,-,303,fig 13.12,"From sigma_theta^2 = 2(D/uL) we find","Ch. 13's small-deviation variance, the relation Fig. 14.7's annotation must be consistent with"
Fig13.11,DuL_small_deviation_limit,0.01,-,303,"section heading above fig. 13.11","Small Deviation from Plug Flow, D/uL < 0.01","the validity limit of the figure Fig. 14.7's annotation points at"
