# Levenspiel (1972): the quantitative and semi-quantitative prose claims this
# page tests, quoted VERBATIM from cropped 300 ppi (native) renders. The paper
# contains no table and no measured datum anywhere (see the page's "The data"
# section for the search that establishes this), so these claims - and the
# printed equations - are the entire testable content of the document.
claim_id,page,quote,tested_as
abstract_four_classes,265,"the nth order rate equation which represents the four broad classes of deactivation of catalyst particles: parallel, series, side-by-side, and independent","the four rate forms of eqs. (4)-(7) are implemented as printed and solved in four reactors"
abstract_conc_independent,265,"For batch-solids systems we show that when deactivation is concentration independent then using a batch of fluid or any flow of fluid gives results which are simple to interpret","at n' = 0 the four classes collapse to one; measured as an exact degeneracy in every configuration"
abstract_one_contacting,265,"However, when deactivation is concentration dependent then only one very particular form of contacting is recommended in that it alone allows decoupling of concentration and activity effects, and their study one at a time","the constant-C_A mixed-flow device does decouple - and the page measures the price: within one run it also destroys the class distinction exactly"
p267_nprime_zero,267,"When concentration independent (or n' = 0) then any type of batch-solids system may be used; but when concentration dependent, then unless one particular type of reactor is used the analysis of the experimental results becomes awkward and difficult","the n' = 0 collapse, verified exactly"
p267_timescale,267,"Deactivation in the order of minutes or longer can use the fixed batch of solids","turned into a number by the pseudo-steady-state cost study: the fluid residence time at which the pseudo-steady assumption breaks a given conversion resolution"
p267_fast,267,"Whenever deactivation is very rapid, in the order of seconds or less, then a flowing-solids system must be used. Cracking catalysts whose activity half-life is in the order of 0.1-1 sec fall into this category","the same study, at the other end: flowing solids are out of this page's scope"
p269_pseudo_steady,269,"We should mention that this and the following derivations for a batch of solids are based on the pseudo-steady-state assumption which views that conditions change slowly enough with time so that the system can be considered to be at steady state at any instant. Since a batch of solids can only be used in experimentation if deactivation is not too rapid this assumption is reasonable","measured: the pymrm bed is solved with the fluid accumulation term retained and the error root-found against a stated conversion resolution"
p270_any_device,270,"As long as the deactivation is concentration independent any of the above experimental devices will give results which are simple to interpret. Thus all the above analyses can be extended with no difficulty to any order deactivation d and any order of reaction n","verified: eqs. (28)-(32) reproduced for d = 0, 1, 2, 3 and for general d"
p270_no_decouple,270,"On the other hand if the deactivation is concentration dependent then the concentration and activity effects do not decouple and analysis becomes quite difficult unless the proper experimental device is used, one deliberately chosen so as to decouple these factors","the separability matrices of the four devices"
p270_recycle,270,"The recycle reactor of Fig. 1d can also be used; however, except for high recycle rates where it approaches the behavior of a completely mixed reactor, its use offers no particular advantage","not tested: Fig. 1d is out of this page's scope, and the page says so"
p271_keep_constant,271,"For parallel deactivation (Eq. 4) keep C_A constant; For series deactivation (Eq. 5) keep C_R constant; For side-by-side deactivation (Eq. 6) keep C_P constant; For independent deactivation (Eq. 7) no concentration need be kept constant","the constant-concentration device, implemented as printed"
p271_all_forms,271,"The completely mixed flow reactor with controlled and changing flow rate of feed can satisfy this requirement for all these kinetic forms","measured: with one control knob it holds ONE concentration; for side-by-side, where the poison is consumed, C_P and C_A cannot both be held, and the page quantifies the cost"
p271_side_by_side_hedge,271,"The analysis is quite similar for series deactivation if C_A, hence C_R is kept constant, and for side-by-side deactivation if C_P and, if possible, C_A are kept constant. If C_A cannot be kept constant in side-by-side deactivation, analysis is still not particularly difficult","the author's own hedge - quoted because the over-determination above is something he flags, not something he misses"
fig6_caption,271,"A straight line on this plot indicates that the guessed order of deactivation is correct. Data is taken in a mixed reactor with constant C_A","eq. (32) and its Fig.-6 slope and intercept, verified symbolically for general d"
p272_orders_treated,272,"n = 1; n' = 0,1; d = 1,3","the orders Levenspiel (3) and Kunii & Levenspiel (4) are said to treat - a pointer to two OTHER works, not a result of this paper; neither was consulted"
p272_discussion_question,272,"We ask in particular whether experiments can be devised so as to give simply the orders and rate constants of these equations","the question this page answers quantitatively"
p272_recommendation,272,"To test the general rate form with concentration dependent deactivation the most useful reactor set up uses a batch of solids and mixed flow of fluid with changing flow rate so as to keep the concentration of the pertinent reaction component unchanged with time within the reactor. Thus by constantly lowering the flow rate in a basket or recycle reactor the activity and concentration dependencies can be decoupled and studied separately","the central claim the page tests"
